SEGRE EN ANJOU - Parc des Expositions;10, Route de Pouance;Segré-en-Anjou Bleu;49500;2021-01-18;2021-08-22;https://partners.doctolib.fr/centre-de-vaccinations-internationales/segre-en-anjou-bleu/centre-de-vaccination-covid-19-segre-en-anjou-bleu?speciality_id=5494&enable_cookies_consent=1;744;doctolib;2;2;2550774:411475-411480-471754-501955:164953
SEICHES SUR LE LOIR - Hall de sport;8, Rue Henri Regnier;Seiches-sur-le-Loir;49140;2021-04-15;2021-10-02;https://partners.doctolib.fr/etablissement-de-prevention/seiches-sur-le-loir/centre-de-vaccination-covid-de-seiches-sur-le-loir?pid=practice-181252&enable_cookies_consent=1;2318;doctolib;2;2;2855716:451902-451924-451925-451945-456239-456241:181252
BRISSAC - Complexe Sportif;Rue du Marin;Brissac Loire Aubance;49320;2021-04-06;2021-08-31;https://partners.doctolib.fr/centre-de-sante/brissac-loire-aubance/centre-de-vaccination-covid-19-brissac?pid=practice-180768&enable_cookies_consent=1;2317;doctolib;2;2;2747187:458477-459910-470281-470945-490344:180768
SAUMUR - Espace Jean Rostand;404, Rue Emmanuel Clairefond;Saumur;49400;2021-01-18;;https://partners.doctolib.fr/centre-de-sante/saumur/centre-de-vaccination-covid-19-ville-de-saumur?speciality_id=5494&enable_cookies_consent=1;729;doctolib;2;2;2545461:409806-409807-435459-435460-454347-459784-459786-459791-466235-466236-471433-471437-471439-472573-472575-472604-487608-487609-487610:180518
CHOLET - Salle des fêtes;2, Avenue Marcel Prat;Cholet;49300;2021-01-19;;https://partners.doctolib.fr/maison-de-sante/cholet/centre-de-vaccination-covid-19-ville-de-cholet?speciality_id=5494&enable_cookies_consent=1;727;doctolib;2;2;2549365:411079-426883-431161-436895-436896-440981-440982-440983-440986-440988-447612-447613-447614-447617-453208-470330-470331-470333:179975
LE PIN EN MAUGES - Salle du relais du Bois;Avenue du Chemin Vert;Beaupréau-en-Mauges;49600;2021-01-18;;https://partners.doctolib.fr/centre-de-vaccinations-internationales/le-pin-en-mauges/centre-vaccination-covid-19des-mauges-49?speciality_id=5494&enable_cookies_consent=1;735;doctolib;2;2;2548662:410858-410859-459698-466771-469707-469708-472333-475000:164698
BAUGES - René d'Anjou;1, Place Orgerie;Baugé-en-Anjou;49150;2021-01-18;;https://partners.doctolib.fr/centre-de-sante/bauge-en-anjou/centre-de-vaccination-bauge-en-anjou?speciality_id=5494&enable_cookies_consent=1;738;doctolib;2;2;2543815:409221-409825-409826-423946-430937-437132-439977-443920-449701-451691-470994-478697-478698-478739:163993
ANGERS- Parc des Expositions;51, Route de Paris;Verrières-en-Anjou;49480;2021-04-07;;https://partners.doctolib.fr/centre-de-sante/angers/centre-de-vaccination-covid-19-angers-parc-des-expositions?pid=practice-180770&enable_cookies_consent=1;2218;doctolib;2;2;2746356:449894-449896-449898-449901-449902-449903-449904-449905-449906-449907-449908-449910-449911-449918-450408-450929-450931-450932-450934-450936-450937-450938-450940-450943-450944-450945-450946-453453-471925-475549-475555-478184-478185-478186-479780-479861-502503-502504-502505-502507-502509-502510:180770
