LES HERBIERS - Espace Herbauges;6, Rue des Bains Douches;Les Herbiers;85500;2021-01-18;;https://partners.doctolib.fr/centre-de-sante/les-herbiers/centre-de-vaccination-communaute-des-communes-du-pays-des-herbiers?speciality_id=5494&enable_cookies_consent=1;841;doctolib;2;2;2551394:411637-411638-411639-424097-424130-424259-433943-433945-433948-466562-466563-466564:164992
LA ROCHE SUR YON - Petite salle des fêtes du Bourg-sous-la Roche;80, Rue Émile Baumann;La Roche-sur-Yon;85000;2021-01-18;;https://partners.doctolib.fr/maison-de-sante/la-roche-sur-yon/centre-de-vaccination-de-la-la-roche-sur-yon?speciality_id=5494&enable_cookies_consent=1;762;doctolib;2;2;3029278:410967-410968-410970-422917-442519-442520-442521-442522-445047-445049-459676-459678-467467-467468-467471-468306-468307:164737x3029308:410967-410968-410970-422917-442519-442520-442521-442522-445047-445049-459676-459678-467467-467468-467471-468306-468307:164737
MONTAIGU - Salle Dolia;Allée des Cressonnières;Montaigu-Vendée;85600;2021-01-18;;https://partners.doctolib.fr/centre-de-sante/montaigu-vendee/centre-de-vaccination-terres-de-montaigu?speciality_id=5494&enable_cookies_consent=1;842;doctolib;2;2;2549611:411120-417814-421482-435211-435212-435213-456477-466906-467916-468667-468671-468672-478386-486402-502077-502078-502083:186759
LUCON - Espace Plaisance;Chemin de la motte des 4 seigneurs;Luçon;85400;2021-01-18;;https://partners.doctolib.fr/centre-de-vaccinations-internationales/lucon/centre-de-vaccination-de-lucon?speciality_id=5494&enable_cookies_consent=1;846;doctolib;2;2;2545225:409730-409994-409995-440501-449373-454556-464485:164221
FONTENAY LE COMTE - Espace culturel et de congrès René-Cassin;5, Avenue de la Gare;Fontenay-le-Comte;85200;2021-01-18;;https://partners.doctolib.fr/centre-de-vaccinations-internationales/fontenay-le-comte/centre-vaccination-fontenay-le-comte?speciality_id=5494&enable_cookies_consent=1;817;doctolib;2;2;2547559:410343-410845-434798-440283-451423-456037-469004:164494
NOIRMOUTIER - Espace Hubert Poignant;2, Place de la Prée aux Ducs;Noirmoutier-en-l'Île;85330;2021-01-18;;https://partners.doctolib.fr/centre-depistage-covid/noirmoutier-en-l-ile/centre-de-vaccination-de-noirmoutier?speciality_id=5494&enable_cookies_consent=1;843;doctolib;2;2;2551512:411698-411710-426342-429584-454423-456436-487723:164989x3026374:501467:164989
ILE D'YEU - Hôpital Dumonté;17, Impasse du Puits Raimond;L'Île-d'Yeu;85350;2021-02-01;;https://partners.doctolib.fr/hopital-public/l-ile-d-yeu/centre-de-vaccination-covid-hopital-local-ile-d-yeu?speciality_id=5494&enable_cookies_consent=1;844;doctolib;2;2;2555066:412703:165402
LES SABLES D'OLONNE - Olonnespace;20, Allée des Aulnes;Les Sables-d'Olonne;85340;2021-01-18;;https://partners.doctolib.fr/centre-de-sante/les-sables-d'olonne/centre-de-vaccination-covid-des-sables-d-olonne?speciality_id=5494&enable_cookies_consent=1;793;doctolib;2;2;2544856:409476-409477-411304-425817-433911-434674-447058-447059-466556-466604-467211-467212-488024:178992x2847173:471466:178992
CHALLANS - Salles Louis-Claude Roux;1, Rue des Plantes;Challans;85300;2021-01-18;;https://partners.doctolib.fr/centre-de-sante/challans/cpts-lvo-centre-vaccination?speciality_id=5494&enable_cookies_consent=1;820;doctolib;2;2;2550258:456355:164769
SAINT-HILAIRE DE RIEZ - Espace Jean Gaillardon;47, Avenue de la Faye;Saint-Hilaire-de-Riez;85270;2021-04-07;;https://partners.doctolib.fr/centre-de-sante/saint-hilaire-de-riez/centre-de-vaccination-covid-saint-hilaire-de-riez?pid=practice-179605&enable_cookies_consent=1;2396;doctolib;2;2;2732054:448539:179605
